Id,Label,Score
0,0,2.0
1,1,1.0
2,2,2.0
3,3,0.0
4,4,0.0
5,5,3.0
6,6,2.0
7,7,4.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,2.0
12,12,2.0
13,13,0.0
14,14,0.0
15,15,5.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,1.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,21.0
38,38,0.0
39,39,0.0
40,40,1.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,354.0
63,63,0.0
64,64,0.0
65,65,3.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,3.0
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.0
84,84,0.0
85,85,3.0
86,86,43.0
87,87,0.0
88,88,343.0
89,89,362.0
90,90,46.0
91,91,0.0
92,92,0.0
93,93,49.0
94,94,1.0
95,95,0.0
96,96,2.0
97,97,2.0
98,98,13.0
99,99,0.0
100,100,0.0
101,101,1.0
102,102,0.0
103,103,0.0
104,104,3.0
105,105,47.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,40.0
111,111,40.0
112,112,0.0
113,113,40.0
114,114,40.0
115,115,40.0
116,116,0.0
117,117,2.0
118,118,170.0
119,119,362.0
120,120,0.0
121,121,0.0
122,122,0.0
123,123,0.0
124,124,0.0
125,125,3.0
126,126,8.0
127,127,0.0
128,128,9.0
129,129,0.0
130,130,0.0
131,131,0.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,9.0
140,140,11.0
141,141,0.0
142,142,0.0
143,143,0.0
144,144,0.0
145,145,0.0
146,146,3.0
147,147,0.0
148,148,3.0
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.0
153,153,0.0
154,154,0.0
155,155,344.0
156,156,1.0
157,157,0.0
158,158,362.0
159,159,0.0
160,160,0.0
161,161,0.0
162,162,39.0
163,163,0.0
164,164,0.0
165,165,0.0
166,166,0.0
167,167,361.0
168,168,0.0
169,169,0.0
170,170,0.0
171,171,3.0
172,172,0.0
173,173,0.0
174,174,0.0
175,175,3.0
176,176,0.0
177,177,0.0
178,178,168.0
179,179,2.0
180,180,0.0
181,181,0.0
182,182,0.0
183,183,0.0
184,184,0.0
185,185,0.0
186,186,0.0
187,187,169.0
188,188,0.0
189,189,355.0
190,190,0.0
191,191,0.0
192,192,0.0
193,193,169.0
194,194,4.0
195,195,1.0
196,196,0.0
197,197,42.0
198,198,0.0
199,199,40.0
200,200,362.0
201,201,0.0
202,202,0.0
203,203,0.0
204,204,3.0
205,205,0.0
206,206,0.0
207,207,0.0
208,208,0.0
209,209,1.0
210,210,0.0
211,211,41.0
212,212,366.0
213,213,0.0
214,214,0.0
215,215,0.0
216,216,0.0
217,217,0.0
218,218,0.0
219,219,365.0
220,220,0.0
221,221,0.0
222,222,0.0
223,223,0.0
224,224,3.0
225,225,0.0
226,226,3.0
227,227,0.0
228,228,0.0
229,229,0.0
230,230,0.0
231,231,3.0
232,232,1.0
233,233,0.0
234,234,2.0
235,235,0.0
236,236,0.0
237,237,84.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,0.0
242,242,0.0
243,243,0.0
244,244,1.0
245,245,0.0
246,246,0.0
247,247,0.0
248,248,0.0
249,249,3.0
250,250,0.0
251,251,0.0
252,252,0.0
253,253,2.0
254,254,0.0
255,255,0.0
256,256,0.0
257,257,0.0
258,258,0.0
259,259,6.0
260,260,0.0
261,261,27.0
262,262,473.0
263,263,0.0
264,264,251.0
265,265,5.0
266,266,22.0
267,267,249.0
268,268,0.0
269,269,8.0
270,270,29.0
271,271,355.0
272,272,0.0
273,273,0.0
274,274,23.0
275,275,1.0
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0
280,280,2.0
281,281,2.0
282,282,0.0
283,283,8.0
284,284,0.0
285,285,6.0
286,286,4.0
287,287,0.0
288,288,16.0
289,289,5.0
290,290,0.0
291,291,0.0
292,292,22.0
293,293,11.0
294,294,0.0
295,295,0.0
296,296,0.0
297,297,2.0
298,298,0.0
299,299,0.0
300,300,0.0
301,301,0.0
302,302,14.0
303,303,4.0
304,304,0.0
305,305,0.0
306,306,5.0
307,307,0.0
308,308,0.0
309,309,2.0
310,310,0.0
311,311,0.0
312,312,0.0
313,313,0.0
314,314,0.0
315,315,0.0
316,316,15.0
317,317,0.0
318,318,2.0
319,319,0.0
320,320,0.0
321,321,2.0
322,322,0.0
323,323,0.0
324,324,2.0
325,325,0.0
326,326,0.0
327,327,2.0
328,328,0.0
329,329,0.0
330,330,2.0
331,331,0.0
332,332,0.0
333,333,5.0
334,334,0.0
335,335,0.0
336,336,0.0
337,337,0.0
338,338,0.0
339,339,0.0
340,340,0.0
341,341,0.0
342,342,0.0
343,343,40.0
344,344,2.0
345,345,0.0
346,346,3.0
347,347,1.0
348,348,0.0
349,349,0.0
350,350,41.0
351,351,1.0
352,352,0.0
353,353,1.0
354,354,0.0
355,355,0.0
356,356,2.0
357,357,0.0
358,358,3.0
359,359,2.0
360,360,0.0
361,361,3.0
362,362,2.0
363,363,0.0
364,364,3.0
365,365,2.0
366,366,0.0
367,367,3.0
368,368,2.0
369,369,0.0
370,370,3.0
371,371,2.0
372,372,0.0
373,373,3.0
374,374,2.0
375,375,0.0
376,376,1.0
377,377,4.0
378,378,7.0
379,379,0.0
380,380,3.0
381,381,0.0
382,382,1.0
383,383,0.0
384,384,0.0
385,385,1.0
386,386,0.0
387,387,0.0
388,388,0.0
389,389,0.0
390,390,0.0
391,391,0.0
392,392,0.0
393,393,0.0
394,394,0.0
395,395,0.0
396,396,0.0
397,397,0.0
398,398,7.0
399,399,5.0
400,400,0.0
401,401,6.0
402,402,1.0
403,403,0.0
404,404,8.0
405,405,1.0
406,406,0.0
407,407,1.0
408,408,0.0
409,409,1.0
410,410,0.0
411,411,0.0
412,412,0.0
413,413,7.0
414,414,0.0
415,415,2.0
416,416,0.0
417,417,0.0
418,418,0.0
419,419,0.0
420,420,0.0
421,421,0.0
422,422,16.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,0.0
429,429,0.0
430,430,0.0
431,431,0.0
432,432,0.0
433,433,0.0
434,434,0.0
435,435,0.0
436,436,18.0
437,437,0.0
438,438,0.0
439,439,10.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,0.0
445,445,0.0
446,446,0.0
447,447,0.0
448,448,0.0
449,449,6.0
450,450,7.0
451,451,4.0
452,452,5.0
453,453,1.0
454,454,0.0
455,455,2.0
456,456,0.0
457,457,1.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,10.0
462,462,11.0
463,463,7.0
464,464,9.0
465,465,2.0
466,466,0.0
467,467,0.0
468,468,3.0
469,469,10.0
470,470,15.0
471,471,1.0
472,472,0.0
473,473,0.0
474,474,0.0
475,475,0.0
476,476,2.0
477,477,3.0
478,478,1.0
479,479,0.0
480,480,1.0
481,481,0.0
482,482,0.0
483,483,0.0
484,484,1.0
485,485,0.0
486,486,17.0
487,487,0.0
488,488,0.0
489,489,14.0
490,490,0.0
491,491,0.0
492,492,0.0
493,493,0.0
494,494,4.0
495,495,5.0
496,496,10.0
497,497,13.0
498,498,0.0
499,499,0.0
500,500,0.0
501,501,6.0
502,502,7.0
503,503,4.0
504,504,5.0
505,505,0.0
506,506,0.0
507,507,20.0
508,508,21.0
509,509,1.0
510,510,0.0
511,511,2.0
512,512,1.0
513,513,0.0
514,514,0.0
515,515,1.0
516,516,0.0
517,517,0.0
518,518,0.0
519,519,0.0
520,520,20.0
521,521,21.0
522,522,22.0
523,523,20.0
524,524,21.0
525,525,22.0
526,526,20.0
527,527,21.0
528,528,22.0
529,529,0.0
530,530,20.0
531,531,21.0
532,532,22.0
533,533,18.0
534,534,0.0
535,535,20.0
536,536,21.0
537,537,1.0
538,538,0.0
539,539,22.0
540,540,19.0
541,541,1.0
